catalogNumber,phylum,class,order,suborder,superfamily,family,subfamily,genus,acceptedNameUsage,Occurrence,speciesA,speciesB,country,countryCode,locationRemarks,locality,coordinateUncertaintyInMeters,decimalLatitude,decimalLongitude,hostPlantFamily,hostPlantLatinName,hostPlantVernacularName,sourceCategory,ownerInstitutionCode,locationAccordingTo,dateIdentified,page,eventDate,eventDate,associatedReferences
NS0011,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not genotyped,not genotyped,Austria,AT,,Baden,10000,48.0032,16.2301,unspecified species,unspecified species,NA,Literature,,"Löw F (1888) Uebersicht der Psylliden von Oesterreich-Ungarn mit Einschluss von Bosnien und der Herzegowina, nebst Beschreibung neuer Arten. Verhandlungen der zoologisch-botanischen Gesellschaft in Wien 38: 5-40",1888,18,1888,1888,http://www.hemiptera-databases.org/psyllespdf/350.pdf
NS0012,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not genotyped,not genotyped,Austria,AT,National  Park,Donau-Auen,10000,48.1339,16.7354,unspecified species,unspecified species,NA,Literature,,"Löw F (1888) Uebersicht der Psylliden von Oesterreich-Ungarn mit Einschluss von Bosnien und der Herzegowina, nebst Beschreibung neuer Arten. Verhandlungen der zoologisch-botanischen Gesellschaft in Wien 38: 5-40",1888,18,1888,1888,http://www.hemiptera-databases.org/psyllespdf/350.pdf
NS0013,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not genotyped,not genotyped,Austria,AT,,Grossrussbach,10000,48.4741,16.4163,unspecified species,unspecified species,NA,Literature,,"Löw F (1888) Uebersicht der Psylliden von Oesterreich-Ungarn mit Einschluss von Bosnien und der Herzegowina, nebst Beschreibung neuer Arten. Verhandlungen der zoologisch-botanischen Gesellschaft in Wien 38: 5-40",1888,18,1888,1888,http://www.hemiptera-databases.org/psyllespdf/350.pdf
NS0014,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not genotyped,not genotyped,Austria,AT,,Lunz,10000,47.8599,15.0304,unspecified species,unspecified species,NA,Literature,,"Löw F (1888) Uebersicht der Psylliden von Oesterreich-Ungarn mit Einschluss von Bosnien und der Herzegowina, nebst Beschreibung neuer Arten. Verhandlungen der zoologisch-botanischen Gesellschaft in Wien 38: 5-40",1888,18,1888,1888,http://www.hemiptera-databases.org/psyllespdf/350.pdf
NS0015,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not genotyped,not genotyped,Austria,AT,,Seebenstein,10000,47.6989,16.1446,unspecified species,unspecified species,NA,Literature,,"Löw F (1888) Uebersicht der Psylliden von Oesterreich-Ungarn mit Einschluss von Bosnien und der Herzegowina, nebst Beschreibung neuer Arten. Verhandlungen der zoologisch-botanischen Gesellschaft in Wien 38: 5-40",1888,18,1888,1888,http://www.hemiptera-databases.org/psyllespdf/350.pdf
NS0016,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not genotyped,not genotyped,Austria,AT,as Karnten,Villach,10000,46.6086,13.8506,unspecified species,unspecified species,NA,Literature,,"Löw F (1888) Uebersicht der Psylliden von Oesterreich-Ungarn mit Einschluss von Bosnien und der Herzegowina, nebst Beschreibung neuer Arten. Verhandlungen der zoologisch-botanischen Gesellschaft in Wien 38: 5-40",1888,18,1888,1888,http://www.hemiptera-databases.org/psyllespdf/350.pdf
NS0017,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not genotyped,not genotyped,Austria,AT,district,Wien-Umgebung,10000,48.1175,16.4658,unspecified species,unspecified species,NA,Literature,,"Löw F (1888) Uebersicht der Psylliden von Oesterreich-Ungarn mit Einschluss von Bosnien und der Herzegowina, nebst Beschreibung neuer Arten. Verhandlungen der zoologisch-botanischen Gesellschaft in Wien 38: 5-40",1888,18,1888,1888,http://www.hemiptera-databases.org/psyllespdf/350.pdf
NS0018,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not genotyped,not genotyped,Austria,AT,"locality not stated, see Puton 1871",,,,,unspecified species,unspecified species,NA,Literature,,Hueber T (1904) Systematisches Verzeichnis der deutsch- osterreichischen Psylliden (Blattfl ohe) nach Dr. Puton's Katalog 1899 [Systematic index of German-Austrian psyllids (leaf fleas) after Dr. Puton's catalogue 1899]. Jahreshefte des Vereins fur vaterlandische Naturkunde in Wurttemberg 60: 253-277,1904,,1904,1904,https://doi.org/10.5962/bhl.part.29857
NS0019,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not genotyped,not genotyped,Austria,AT,,,,,,unspecified species,unspecified species,NA,Literature,,"Oshanin B (1908) Verzeichnis der palaearktischen Hemipteren. II. Band, Homoptera. Ezegodnik Zoologiceskago muzea imperatorskoj akademii nauk [Annuaire du Musee Zoologique de l'Academie Imperiale des Sciences] 12: 1-384",1908,359,1908,1908,https://www.hemiptera-databases.org/psyllespdf/1216.pdf
NS0020,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not genotyped,not genotyped,Austria,AT,,,,,,unspecified species,unspecified species,NA,Literature,,"Soós Á. (1969) Levélbolhák – Psyllina (Psyllids – Psyllina). Allathatarozo I. (Identification Guide to Animals I.), L. Móczár (ed.), Tankönyvkiadó, Budapest, pp. 335-337",1969,,1969,1969,
NS0021,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not genotyped,not genotyped,Austria,AT,,Lienz-Stadtgebiet,,46.8349,12.7551,unspecified species,unspecified species,NA,Literature,,"Burckhardt D & Kofler A (2004) Weitere Funde von Blattfl ohen aus Osttirol, Karnten und dem Burgenland (Osterreich) (Insecta: Hemiptera, Psylloidea) [Further finds of plant lices from East Tyrol, Carinthia and Burgenland (Austria) (Insecta: Hemiptera, Psylloidea)]. Beitrage zur Entomofaunistik 5: 9-161993",2004,11,1992,1992,https://www.zobodat.at/pdf/BEF_5_0009-0016.pdf
NS0022,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not genotyped,not genotyped,Austria,AT,,,,,,unspecified species,unspecified species,NA,Literature,,Lethmayer C & Hausdorf H (2005) Der Pflaumenblattsauger: uberträger der Steinobstvergilbungskrankheit [The plum leaf psyllid: vector of stone fruit yellowing disease]. Besseres Obst 7: 8-9.,2005,,2005,2005,
