catalogNumber,phylum,class,order,suborder,superfamily,family,subfamily,genus,acceptedNameUsage,Occurrence,speciesA,speciesB,country,countryCode,locationRemarks,locality,coordinateUncertaintyInMeters,decimalLatitude,decimalLongitude,hostPlantFamily,hostPlantLatinName,hostPlantVernacularName,sourceCategory,ownerInstitutionCode,locationAccordingTo,dateIdentified,page,eventDate,eventDate,associatedReferences
NS0563,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,France,FR,,Montluçon,30,46.3614,2.5466,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2008-04-01,2008-04-01,https://orcid.org/0000-0002-1641-5871
NS0564,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Voiron,30,45.3712,5.6408,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2008-04-01,2008-04-01,https://orcid.org/0000-0002-1641-5871
NS0565,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,France,FR,Re Island,Le Bois-Plage,30,46.187,-1.405,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2008-04-02,2008-04-02,https://orcid.org/0000-0002-1641-5871
NS0566,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,France,FR,,Lusignan,30,46.4304,0.1104,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2008-04-02,2008-04-02,https://orcid.org/0000-0002-1641-5871
NS0567,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,France,FR,,Moreilles,30,46.4175,-1.0838,Rosaceae,Prunus cerasifera Ehrh.,Plum,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2008-04-02,2008-04-02,https://orcid.org/0000-0002-1641-5871
NS0568,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,France,FR,,Niort,30,46.2454,-0.4644,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2008-04-02,2008-04-02,https://orcid.org/0000-0002-1641-5871
NS0569,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Chatellerault,30,46.9291,0.4268,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2008-04-03,2008-04-03,https://orcid.org/0000-0002-1641-5871
NS0570,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,not species B,France,FR,Brissac-Quincé,Les Charbotières,30,47.3469,-0.4867,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2008-04-03,2008-04-03,https://orcid.org/0000-0002-1641-5871
NS0571,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Montgamé,30,46.7479,0.5287,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2008-04-03,2008-04-03,https://orcid.org/0000-0002-1641-5871
NS0572,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Montreuil-Bellay,30,47.0891,-0.0476,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2008-04-03,2008-04-03,https://orcid.org/0000-0002-1641-5871
NS0573,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,Near Angers,Mozé-sur-Louet,30,47.3556,-0.5444,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2008-04-03,2008-04-03,https://orcid.org/0000-0002-1641-5871
NS0574,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Le Mans,30,48.0061,0.3579,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2008-04-04,2008-04-04,https://orcid.org/0000-0002-1641-5871
NS0575,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Orléans,30,47.8771,1.5647,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2008-04-04,2008-04-04,https://orcid.org/0000-0002-1641-5871
NS0576,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,France,FR,,Ludon,30,44.9942,-0.6072,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2008-04-09,2008-04-09,https://orcid.org/0000-0002-1641-5871
NS0577,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not species A,species B,France,FR,Re Island,Le Bois-Plage,30,46.187,-1.4051,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2008-04-10,2008-04-10,https://orcid.org/0000-0002-1641-5871
NS0578,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Brantôme,30,45.4046,0.5927,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2008-04-11,2008-04-11,https://orcid.org/0000-0002-1641-5871
NS0579,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Bernards,30,44.5297,6.3086,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2008-04-27,2008-04-27,https://orcid.org/0000-0002-1641-5871
NS0580,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,not species B,France,FR,,Mas-de-Londres,30,43.7955,3.779,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2008-06-04,2008-06-04,https://orcid.org/0000-0002-1641-5871
NS0581,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,not species B,France,FR,Aveyron,La Couvertoirade,30,43.9279,3.3116,Pinaceae,Pinus nigra J.F.Arnold,Black Pine,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2008-11-19,2008-11-19,https://orcid.org/0000-0002-1641-5871
NS0582,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,Hérault,Grabels,30,43.6598,3.8202,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009,2009,https://orcid.org/0000-0002-1641-5871
NS0583,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Villenave-d'Ornon,30,44.7764,-0.5829,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-03,2009-03-03,https://orcid.org/0000-0002-1641-5871
NS0584,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,not species B,France,FR,,Mazère,30,44.5235,-0.2401,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-05,2009-03-05,https://orcid.org/0000-0002-1641-5871
NS0585,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Mazère,30,44.5021,-0.2592,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-05,2009-03-05,https://orcid.org/0000-0002-1641-5871
NS0586,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,Hérault,Prades-le-Lez,30,43.7053,3.8536,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-06,2009-03-06,https://orcid.org/0000-0002-1641-5871
NS0587,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Salines,30,43.5089,3.8445,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-08,2009-03-08,https://orcid.org/0000-0002-1641-5871
NS0588,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,not species B,France,FR,Pernes-les-Fontaines,Venasque,30,43.9856,5.1758,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-09,2009-03-09,https://orcid.org/0000-0002-1641-5871
NS0589,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,not species B,France,FR,Pernes-les-Fontaines,Venasque,30,43.9889,5.1706,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-09,2009-03-09,https://orcid.org/0000-0002-1641-5871
NS0590,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,not species B,France,FR,,Alès,30,44.1808,4.1242,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-11,2009-03-11,https://orcid.org/0000-0002-1641-5871
NS0591,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,not species B,France,FR,,Corconne,30,43.8631,3.9403,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-11,2009-03-11,https://orcid.org/0000-0002-1641-5871
NS0592,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Le-Mas-Noir,30,43.7955,3.7789,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-11,2009-03-11,https://orcid.org/0000-0002-1641-5871
NS0593,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Lussan,30,44.1604,4.3608,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-11,2009-03-11,https://orcid.org/0000-0002-1641-5871
NS0594,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Uzès,30,43.9642,4.4838,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-11,2009-03-11,https://orcid.org/0000-0002-1641-5871
NS0595,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,not species B,France,FR,,Caylar,30,43.8336,3.3722,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-12,2009-03-12,https://orcid.org/0000-0002-1641-5871
NS0596,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Font-du-Griffe,30,43.7341,3.4914,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-12,2009-03-12,https://orcid.org/0000-0002-1641-5871
NS0597,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,not species B,France,FR,,Lavagnes,30,43.7732,3.536,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-12,2009-03-12,https://orcid.org/0000-0002-1641-5871
NS0598,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Mont-Saint-Baudille,30,43.7444,3.4859,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-12,2009-03-12,https://orcid.org/0000-0002-1641-5871
NS0599,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,not species B,France,FR,,Mormason,30,44.0753,5.2178,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-12,2009-03-12,https://orcid.org/0000-0002-1641-5871
NS0600,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Engayresques,30,44.2576,3.0617,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-16,2009-03-16,https://orcid.org/0000-0002-1641-5871
NS0601,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,not species B,France,FR,,La Cavalerie,30,44.0124,3.1269,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-16,2009-03-16,https://orcid.org/0000-0002-1641-5871
NS0602,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Les Sièges,30,43.82,3.2675,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-16,2009-03-16,https://orcid.org/0000-0002-1641-5871
NS0603,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Lodève,30,43.7682,3.332,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-16,2009-03-16,https://orcid.org/0000-0002-1641-5871
NS0604,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Millau,30,44.1053,3.032,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-16,2009-03-16,https://orcid.org/0000-0002-1641-5871
NS0605,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,not species B,France,FR,,Neuviale,30,44.2826,3.2075,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-16,2009-03-16,https://orcid.org/0000-0002-1641-5871
NS0606,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Rieisse,30,44.2835,3.2904,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-16,2009-03-16,https://orcid.org/0000-0002-1641-5871
NS0607,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Roqueredonde,30,43.7964,3.2415,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-16,2009-03-16,https://orcid.org/0000-0002-1641-5871
NS0608,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Embrun,30,44.5507,6.4848,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-17,2009-03-17,https://orcid.org/0000-0002-1641-5871
NS0609,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Gap,30,44.5616,6.2129,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-17,2009-03-17,https://orcid.org/0000-0002-1641-5871
NS0610,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Guillestre,30,44.6603,6.6053,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-17,2009-03-17,https://orcid.org/0000-0002-1641-5871
NS0611,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Guillestre,30,44.6634,6.6163,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-17,2009-03-17,https://orcid.org/0000-0002-1641-5871
NS0612,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,not species B,France,FR,,Manosque,30,43.8155,5.798,Rosaceae,Prunus cerasifera Ehrh.,Plum,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-17,2009-03-17,https://orcid.org/0000-0002-1641-5871
NS0613,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,species A,species B,France,FR,,Manosque,30,43.8155,5.798,Rosaceae,Prunus spinosa L.,Blackthorn,INRAE,"INRAE, National Research Institute for Agriculture, Food and the Environment (France)",not published INRAE data,,,2009-03-17,2009-03-17,https://orcid.org/0000-0002-1641-5871
