	1880_Scott_psyllids_Russia_translation	abstract	2016-2024	Atriplex	Atriplex	ncbi:3550	Atriplex	/ncbi:1/ncbi:131567/ncbi:2759/ncbi:33090/ncbi:35493/ncbi:131221/ncbi:3193/ncbi:58023/ncbi:78536/ncbi:58024/ncbi:3398/ncbi:1437183/ncbi:71240/ncbi:91827/ncbi:1437201/ncbi:3524/ncbi:1804623/ncbi:1307796/ncbi:1307774/ncbi:3550	genus
	1880_Scott_psyllids_Russia_translation	abstract	3217-3221	Buff	Buff	ncbi:604099	Thermoanaerobacterium thermostercoris	/ncbi:1/ncbi:131567/ncbi:2/ncbi:1783272/ncbi:1239/ncbi:186801/ncbi:68295/ncbi:543371/ncbi:28895/ncbi:604099	species
	1880_Scott_psyllids_Russia_translation	abstract	4585-4592	Sarepta	Sarepta	ncbi:1825725	Sarepta	/ncbi:1/ncbi:131567/ncbi:2759/ncbi:33154/ncbi:33208/ncbi:6072/ncbi:33213/ncbi:33317/ncbi:2697495/ncbi:1206795/ncbi:6447/ncbi:6544/ncbi:45493/ncbi:856330/ncbi:102395/ncbi:1825725	genus
	1880_Scott_psyllids_Russia_translation	abstract	7226-7235	malachite	malachite	ncbi:64457	Siproeta stelenes	/ncbi:1/ncbi:131567/ncbi:2759/ncbi:33154/ncbi:33208/ncbi:6072/ncbi:33213/ncbi:33317/ncbi:1206794/ncbi:88770/ncbi:6656/ncbi:197563/ncbi:197562/ncbi:6960/ncbi:50557/ncbi:85512/ncbi:7496/ncbi:33340/ncbi:33392/ncbi:85604/ncbi:7088/ncbi:41191/ncbi:41196/ncbi:41197/ncbi:37567/ncbi:104431/ncbi:37572/ncbi:33415/ncbi:40040/ncbi:311094/ncbi:64447/ncbi:64457	species
	1880_Scott_psyllids_Russia_translation	abstract	7531-7540	malachite	malachite	ncbi:64457	Siproeta stelenes	/ncbi:1/ncbi:131567/ncbi:2759/ncbi:33154/ncbi:33208/ncbi:6072/ncbi:33213/ncbi:33317/ncbi:1206794/ncbi:88770/ncbi:6656/ncbi:197563/ncbi:197562/ncbi:6960/ncbi:50557/ncbi:85512/ncbi:7496/ncbi:33340/ncbi:33392/ncbi:85604/ncbi:7088/ncbi:41191/ncbi:41196/ncbi:41197/ncbi:37567/ncbi:104431/ncbi:37572/ncbi:33415/ncbi:40040/ncbi:311094/ncbi:64447/ncbi:64457	species
	1880_Scott_psyllids_Russia_translation	abstract	7962-7964	ZS		ncbi:1434112	Methanosarcina lacustris ZS	/ncbi:1/ncbi:131567/ncbi:2157/ncbi:28890/ncbi:2290931/ncbi:224756/ncbi:94695/ncbi:2206/ncbi:2207/ncbi:170861/ncbi:1434112	strain
	1880_Scott_psyllids_Russia_translation	abstract	8112-8114	Zu		ncbi:143324	Zu	/ncbi:1/ncbi:131567/ncbi:2759/ncbi:33154/ncbi:33208/ncbi:6072/ncbi:33213/ncbi:33511/ncbi:7711/ncbi:89593/ncbi:7742/ncbi:7776/ncbi:117570/ncbi:117571/ncbi:7898/ncbi:186623/ncbi:41665/ncbi:32443/ncbi:1489341/ncbi:186625/ncbi:1489388/ncbi:123365/ncbi:123366/ncbi:123367/ncbi:123368/ncbi:123357/ncbi:81386/ncbi:81393/ncbi:143324	genus
	1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	63-72	Homoptera	Homoptera	ncbi:7524	Hemiptera	/ncbi:1/ncbi:131567/ncbi:2759/ncbi:33154/ncbi:33208/ncbi:6072/ncbi:33213/ncbi:33317/ncbi:1206794/ncbi:88770/ncbi:6656/ncbi:197563/ncbi:197562/ncbi:6960/ncbi:50557/ncbi:85512/ncbi:7496/ncbi:33340/ncbi:33342/ncbi:7524	order
	1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	691-696	Livia	Livia	ncbi:1449963	Livia	/ncbi:1/ncbi:131567/ncbi:2759/ncbi:33154/ncbi:33208/ncbi:6072/ncbi:33213/ncbi:33317/ncbi:1206794/ncbi:88770/ncbi:6656/ncbi:197563/ncbi:197562/ncbi:6960/ncbi:50557/ncbi:85512/ncbi:7496/ncbi:33340/ncbi:33342/ncbi:7524/ncbi:33373/ncbi:33375/ncbi:1585420/ncbi:1449963	genus
	1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	741-747	Juncus	Juncus	ncbi:13578	Juncus	/ncbi:1/ncbi:131567/ncbi:2759/ncbi:33090/ncbi:35493/ncbi:131221/ncbi:3193/ncbi:58023/ncbi:78536/ncbi:58024/ncbi:3398/ncbi:1437183/ncbi:4447/ncbi:1437197/ncbi:4734/ncbi:38820/ncbi:14101/ncbi:13578	genus
	1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	867-873	Juncus	Juncus	ncbi:13578	Juncus	/ncbi:1/ncbi:131567/ncbi:2759/ncbi:33090/ncbi:35493/ncbi:131221/ncbi:3193/ncbi:58023/ncbi:78536/ncbi:58024/ncbi:3398/ncbi:1437183/ncbi:4447/ncbi:1437197/ncbi:4734/ncbi:38820/ncbi:14101/ncbi:13578	genus
	1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	922-938	Rhinocola aceris	Rhinocola_aceris	ncbi:1889912	Rhinocola aceris	/ncbi:1/ncbi:131567/ncbi:2759/ncbi:33154/ncbi:33208/ncbi:6072/ncbi:33213/ncbi:33317/ncbi:1206794/ncbi:88770/ncbi:6656/ncbi:197563/ncbi:197562/ncbi:6960/ncbi:50557/ncbi:85512/ncbi:7496/ncbi:33340/ncbi:33342/ncbi:7524/ncbi:33373/ncbi:33375/ncbi:1566705/ncbi:1889911/ncbi:1889912	species
	1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	972-976	Acer	Acer	ncbi:4022	Acer	/ncbi:1/ncbi:131567/ncbi:2759/ncbi:33090/ncbi:35493/ncbi:131221/ncbi:3193/ncbi:58023/ncbi:78536/ncbi:58024/ncbi:3398/ncbi:1437183/ncbi:71240/ncbi:91827/ncbi:1437201/ncbi:71275/ncbi:91836/ncbi:41937/ncbi:23672/ncbi:1977916/ncbi:1977919/ncbi:4022	genus
	1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	1106-1122	Populus nigra L.	Populus_nigra_L.	ncbi:3691	Populus nigra	/ncbi:1/ncbi:131567/ncbi:2759/ncbi:33090/ncbi:35493/ncbi:131221/ncbi:3193/ncbi:58023/ncbi:78536/ncbi:58024/ncbi:3398/ncbi:1437183/ncbi:71240/ncbi:91827/ncbi:1437201/ncbi:71275/ncbi:91835/ncbi:3646/ncbi:3688/ncbi:238069/ncbi:3689/ncbi:3691	species
	1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	1241-1249	Aphalara	Aphalara	ncbi:1566706	Aphalara	/ncbi:1/ncbi:131567/ncbi:2759/ncbi:33154/ncbi:33208/ncbi:6072/ncbi:33213/ncbi:33317/ncbi:1206794/ncbi:88770/ncbi:6656/ncbi:197563/ncbi:197562/ncbi:6960/ncbi:50557/ncbi:85512/ncbi:7496/ncbi:33340/ncbi:33342/ncbi:7524/ncbi:33373/ncbi:33375/ncbi:1566705/ncbi:1566706	genus
	1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	1280-1299	Polygonum fagopyrum	Polygonum_fagopyrum	ncbi:3617	Fagopyrum esculentum	/ncbi:1/ncbi:131567/ncbi:2759/ncbi:33090/ncbi:35493/ncbi:131221/ncbi:3193/ncbi:58023/ncbi:78536/ncbi:58024/ncbi:3398/ncbi:1437183/ncbi:71240/ncbi:91827/ncbi:1437201/ncbi:3524/ncbi:3615/ncbi:1110380/ncbi:1110383/ncbi:3616/ncbi:3617	species
	1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	1447-1455	Aphalara	Aphalara	ncbi:1566706	Aphalara	/ncbi:1/ncbi:131567/ncbi:2759/ncbi:33154/ncbi:33208/ncbi:6072/ncbi:33213/ncbi:33317/ncbi:1206794/ncbi:88770/ncbi:6656/ncbi:197563/ncbi:197562/ncbi:6960/ncbi:50557/ncbi:85512/ncbi:7496/ncbi:33340/ncbi:33342/ncbi:7524/ncbi:33373/ncbi:33375/ncbi:1566705/ncbi:1566706	genus
